"","ID","Round","Project.Title","Organization","Size","Requested","Granted","Category","Project.Address"
"1","S-1","2009 Q1","Goettingen Hill Beautification Project","Goettingen Neighbors Group & SF Parks Trust","Small","$9999.00","$9999.00","Urban Forestry","600 - 700 block of Goettingen St, SF, CA  94134"
"2","S-2","2009 Q1","Nayarit Taqueria Community Mural","VVBOOM & Visitacaion Valley Community Development Corp","Small","$3000.00","$3000.00","Public Art","98 Leland Ave, SF, CA  94134"
"3","M-1","2009 Q1","Reflective Mural - ISA","Les Seymour & World Savvy","Medium","$24944.00","$0.00","Public Art","655 DeHaro Street, SF CA  94107"
"4","M-2","2009 Q1","Fell St. Mosaic Project - IBWHS","Kid Serve Youth Murals","Medium","$25000.00","$25000.00","Public Art","1099 Hayes St, SF, CA  94117"
"5","M-3","2009 Q1","Noe Sidewalk Gardens","Noe Valley Association - CBD","Medium","$16400.00","$16400.00","Urban Forestry","24th St & Noe St, SF, CA  94114"
"6","M-4","2009 Q1","Day Laborer Good Neighbor Project","La Raza Centro Legal & SF Clean City Coalition","Medium","$19500.00","$19500.00","Street Maintenance","Cesar Chavez & 26th St, SF, CA  94103"
"7","M-5","2009 Q1","AAA Workathon","Chinatown Community Development Center","Medium","$25000.00","$15000.00","Street Maintenance","1525 Grant Ave, SF, CA  94133"
"8","M-6","2009 Q1","BHP Youth Clean Up Program","Bayview Hunters Point Foundation","Medium","$24138.00","$24138.00","Graffiti & Litter Abatement","5015 Third St, SF, CA  94124"
"9","M-7","2009 Q1","Pacific Heights Open Space Project","SF Clean City Coalition","Medium","$19088.00","$0.00","Urban Forestry","2451 Sacramento St, SF, CA  94115"
"10","M-8","2009 Q1","Portola Streetscapes Project","Community Initiative Fund","Medium","$24860.00","$0.00","Street Maintenance & Graffiti Abatement","4702 Mission St, SF, CA  94112"
"11","M-9","2009 Q1","Tendorama","Gray Area Gallery","Medium","$25000.00","$25000.00","Public Art","55 Taylor St, SF, CA  94103"
"12","M-10","2009 Q1","Mission Roots","SF Parks Trust","Medium","$19600.00","$19600.00","Urban Forestry","Harrison St, btwn 22nd - 24th St, SF, CA  94110"
"13","L-1","2009 Q1","UN Plaza Sculpture","North of Market/Tenderloin CBD","Large","$100000.00","$0.00","Public Art","83 McAllister St, SF, CA  94103"
"14","L-2","2009 Q1","Alice Griffith Garden","M.D. Referral, Inc.","Large","$51000.00","$0.00","Urban Forestry","2500 Griffith St, SF, CA  94124"
"15","L-3","2009 Q1","Greening the Wiggle","Friends of the Urban Forest","Large","$86226.00","$0.00","Urban Forestry","Market & Church St, SF, CA  94114"
"16","L-4","2009 Q1","Daniel Webster Beautification Project","PREFund","Large","$100000.00","$0.00","Beautification & Urban Forestry","465 Missouri St, SF, CA  94107"
"17","L-5","2009 Q1","Hooper St Greenscape Project","CA College of the Arts","Large","$48025.00","$0.00","Urban Forestry","Hooper St, btwn 7th & 8th St, SF, CA  94107 "
"18","L-6","2009 Q1","Bayview Opera House","Bayview Opera House","Large","$100000.00","$86000.00","Beautification","4705 Third Street, SF, CA  94124"
"19","L-7","2009 Q1","Harvey Milk Plaza","Castro/Upper Market CBD","Large","$100000.00","$58167.00","Beautification & Urban Forestry","Market & Castro St, SF, CA  94114"
"20","L-8","2009 Q1","Hayes Valley Playground Renovation","Trust for Public Land","Large","$100000.00","$0.00","Beautification & Urban Forestry","Hayes & Buchanan St, SF, CA  94102"
"21","L-9","2009 Q1","Tenderloin Post Office Mural Project","SF Clean City Coalition","Large","$34188.00","$34188.00","Public Art","101 Hyde St @ Golden Gate Ave, SF, CA  94103"
"22","L-10","2009 Q1","Summer Gardening Program","Enterprise for High School Students","Large","$26846.00","$0.00","Urban Forestry","Crocker Amazon Park"
"23","L-11","2009 Q1","Visitacion Valley Greenway Project","SF Parks Trust","Large","$99299.00","$54000.00","Urban Forestry","Campbell & Rutland Ave, SF, CA  94134"
"24","L-12","2009 Q1","Sumner Living Alley","Winslow Architecture & Neighborhood Parks Council","Large","$100000.00","$0.00","Beautification & Urban Forestry","100 blk of Sumner St, btwn Howard & Clementina St, SF, CA  94103"
"25","L-13","2009 Q1","Duboce Park Youth Play Area","Friends of Duboce Playground & neighborhood Parks Council","Large","$82500.00","$29251.00","Beautification & Urban Forestry","Duboce Park Plyground"
"26","L-14","2009 Q1","8th Avenue Greening Project","8th Avenue Neighbors & SF Parks Trust","Large","$46772.00","$29945.00","Urban Forestry","8th Ave, btwn Lincoln & Irving St, SF, CA  94122"
"27","L-15","2009 Q1","Chinatown Public Places & Spaces Project","MainTrain","Large","$62261.00","$0.00","Street Maintenance","777 Stockton St, SF, CA  94108"
"28","L-16","2009 Q1","Cohen Alley's Green Lab","509 Cultural Center","Large","$100000.00","$75000.00","Urban Forestry","509 Ellis St, SF, CA  94103"
"29","L-17","2009 Q1","Excelsior Streetscapes Project","Execelsior Action Group & Community Initiative Fund","Large","$95920.00","$0.00","Urban Forestry","4300 Silver Ave, SF, CA  94112"
"30","L-18","2009 Q1","Ocean Ave Landscape & Banner Project","OMI Neighbors In Action","Large","$88607.00","$0.00","Beautification & Urban Forestry","4702 Mission St, SF, CA  94112"
"31","L-19","2009 Q1","Bayview Youthh Art Program","Bayview Hunters Point Foundation","Large","$120824.00","$0.00","Public Art","5015 Third St, SF, CA  94124"
"32","L-20","2009 Q1","BOMBB Mural Project","HOMEY","Large","$100000.00","$0.00","Public Art","1337 Mission St, SF, CA  94103"
"34","S-1","2009 Q2","Sunnyside ES Beautification Project","Sunnyside ES PTA","Small","$8457.00","$8457.00","Urban Forestry","250 Foerster Street, SF CA 94112"
"35","S-2","2009 Q2","Tara Street Community Garden","Tara Street Neighbors & SF Parks Trust","Small","$8453.00","$7980.00","Urban Forestry","Tara & Geneva Avenue, SFCA 94112"
"36","S-3","2009 Q2","New Neighbors Mural Project","Think Round, Inc.","Small","$10000.00","$6160.00","Public Art","1800 Oakdale Avenue, SFCA 94124"
"37","M-1","2009 Q2","Junipero Serra Greenbelt Tree Planting Project","Lakeside Property Owners Association","Medium","$16278.00","$16278.00","Urban Forestry","Junipero Serra Blvd. & Ocean Avenue, SFCA 94127"
"38","M-2","2009 Q2","Willie Mays Edible Garden","Boys & Girls Clubs of San Francisco","Medium","$25000.00","$21450.00","Urban Forestry","195 Kiska Road, SFCA 94124"
"39","M-3","2009 Q2","La Playa Street Parks ","La Playa Park Neighbors & SF Parks Trust","Medium","$25000.00","$18000.00","Urban Forestry","La Playa Avenue & Judah, SFCA 94122"
"40","M-4","2009 Q2","Give Thanks Garden","Girls 2000","Medium","$24400.00","$0.00","Urban Forestry","323 Grand View Avenue, SFCA 94114"
"41","M-5","2009 Q2","Tompkins Avenue Stairs Project","Neighbors Improving Bernal & SF Parks Trust","Medium","$16200.00","$15015.00","Beautification & Urban Forestry","400 Nevada Street, SFCA 94110"
"42","M-6","2009 Q2","Plant Don't Pave","Surfrider Foundation, SF Chapter","Medium","$20000.00","$20000.00","Urban Forestry","1779 48th Avenue, SFCA 94122"
"43","M-7","2009 Q2","Ocean Avenue Gateway Greening Project","OMI Neighbors In Action","Medium","$21382.00","$20943.00","Urban Forestry","272 Harold Avenue, SFCA 94112"
"44","M-8","2009 Q2","Japantown Beautification & Greening Project","Japantown Task Force, Inc.","Medium","$16355.00","$0.00","Beautification & Urban Forestry","1700 Sutter Street, SFCA 94115"
"45","M-9","2009 Q2","Hayes Valley Playground Clubhouse","Trust for Public Land","Medium","$18910.00","$18910.00","Rainwater Harvesting Project","699 Hayes Street, SFCA 94102"
"46","M-10","2009 Q2","Summer Gardening Program","Enterprise for High School Students","Medium","$13905.00","$10965.00","Urban Forestry","950 Key Avenue, SFCA 94124"
"47","M-11","2009 Q2","The Secret Garden","Good Samaritan Family Resource Center","Medium","$20000.00","$0.00","Urban Forestry","2715 Harrison Streets, SFCA 94110"
"48","M-12","2009 Q2","Divisadero Corridor Clean-Up Project","Larkin Street Youth Services","Medium","$22508.00","$15000.00","Graffiti & Litter Abatement","401 Divisadero, SFCA 94117"
"49","M-13","2009 Q2","Folsom St Sidewalk Garden Project","Public Architecture","Medium","$25000.00","$0.00","Urban Forestry","1122 Folsom Street, SF CA 94103"
"50","M-15","2009 Q2","Polk St Corridor Clean-Up Project","Larkin Street Youth Services","Medium","$25000.00","$15000.00","Graffiti & Litter Abatement","1033 Polk Street, SF CA 94109"
"51","M-16","2009 Q2","Execelsior Streetscapes Project","Excelsior Action Group","Medium","$24035.00","$17435.00","Public Art & Urban Forestry","5096 Mission St, SF CA 94112"
"52","M-17","2009 Q2","EcoCenter At Herons Head Park Project","Literacy for Environmental Justice","Medium","$21255.00","$21255.00","Rainwater Harvesting Project","1 Jennings Street, SFCA 94124"
"53","L-1","2009 Q2","Greening of the Bridge","Chinese Culture Foundation of SF ","Large","$100000.00","$0.00","Urban Forestry","750 Kearny Street, SF CA 94108"
"54","L-2","2009 Q2","Little Saigon Beautification Project","Vietnamese Elderly Mutual Assistance Association","Large","$82500.00","$12370.00","Beautification & Urban Forestry","910 Larkin Street, SF CA 94109"
"55","L-3","2009 Q2","International Hotel Mural Project","Chinatown Community Development Center","Large","$50000.00","$23455.00","Public Art","868 Kearny Street, SF CA 94133"
"56","L-4","2009 Q2","Systems Mural Project","Intersection for the Arts","Large","$80000.00","$0.00","Public Art","420 Berry Street, SF CA 94103"
"57","L-5","2009 Q2","Sidewalk Garden Project","Plant *SF & SF Parks Trust","Large","$74889.00","$34835.00","Urban Forestry & Rainwater Harvesting","Quintera & 42nd Avenue, SF CA 94122"
